Sl. No.,Name,Urban Status,State Code,State/                                               Union territory*,District Code,District
441,Banga,N.P.,22,Chhattisgarh,11,Raipur
442,Bangalore,M,8,Rajasthan,17,Barmer
443,Bangaon,M.B.,9,Uttar Pradesh,52,Balrampur
444,Bangarapet,N.A.C.,21,Orissa,17,Khordha
445,Bangarmau,M,19,West Bengal,5,Dakshin Dinajpur
446,Bangawan,C.T.,30,Goa,1,North Goa 
447,Bangramanjeshwar,N.P.,23,Madhya Pradesh,42,Mandla
448,Bangura,N.P.,23,Madhya Pradesh,2,Morena
449,Banihal,C.T.,23,Madhya Pradesh,11,Sagar
450,Banjar,C.T.,18,Assam,6,Kamrup
451,Banka,C.T.,19,West Bengal,12,Hugli 
452,Bankapura,N.A.C.,21,Orissa,17,Khordha
453,Banki,C.T.,19,West Bengal,2,Jalpaiguri 
454,Bankner,C.T.,22,Chhattisgarh,11,Raipur
455,Bankra,N.P.,9,Uttar Pradesh,2,Muzaffarnagar
456,Bankura,M.Cl.,3,Punjab,17,Patiala
457,Banmankhi Bazar,C.T.,5,Uttaranchal,10,Champawat
458,Bannur,N.P.,23,Madhya Pradesh,11,Sagar
459,Bansatar Kheda,M.B.,9,Uttar Pradesh,40,Banda
460,Bansberia,C.T.,28,Andhra Pradesh,14,East Godavari
461,Bansdih,C.T.,20,Jharkhand,13,Bokaro
462,Bansgaon,C.T.,5,Uttaranchal,12,Udham Singh Nagar
463,Banshra,M,8,Rajasthan,11,Dausa
464,Bansi,N.A.C.,1,Jammu & Kashmir,2,Baramula
465,Banswara,C.T.,30,Goa,1,North Goa 
466,Bantwa,M.Cl.,3,Punjab,6,Nawanshahr
467,Bantwal,M.Corp.,29,Karnataka,20,Bangalore
468,Banupur,M,19,West Bengal,11,North Twentyfour Parganas
469,Bapatla,T.M.C,29,Karnataka,19,Kolar
470,Bara Bamonia,M.B.,9,Uttar Pradesh,26,Unnao
471,Barabazar,C.T.,23,Madhya Pradesh,16,Shahdol
472,Baragaon,C.T.,32,Kerala,1,Kasaragod
473,Barahiya,C.T.,21,Orissa,6,Kendujhar
474,Baraily,N.A.C.,1,Jammu & Kashmir,9,Doda
475,Barajamda,N.P.,2,Himachal Pradesh,4,Kullu
476,Baramati,M,10,Bihar,23,Banka
477,Baramula,T.P.,29,Karnataka,11,Haveri
478,Baran,N.A.C.,21,Orissa,12,Cuttack
479,Baranagar,N.P.,9,Uttar Pradesh,46,Barabanki
480,Barapali,C.T.,7,Delhi *,1,North West
481,Barasat,C.T.,19,West Bengal,16,Haora 
482,Barauli,M,19,West Bengal,13,Bankura 
483,Barauni IOC Township,N.A.,10,Bihar,9,Purnia
484,Baraut,T.P.,29,Karnataka,26,Mysore
485,Barbari (AMC Area),C.T.,23,Madhya Pradesh,12,Damoh
486,Barbigha,M,19,West Bengal,12,Hugli 
487,Barbil,N.P.,9,Uttar Pradesh,63,Ballia
488,Barddhaman,N.P.,9,Uttar Pradesh,58,Gorakhpur
489,Bardoli,C.T.,19,West Bengal,9,Barddhaman 
490,Bareilly,M.B.,9,Uttar Pradesh,54,Siddharthnagar
491,Barela,M,8,Rajasthan,28,Banswara
492,Baretta,M,24,Gujarat,12,Junagadh
493,Bargarh,T.P.,29,Karnataka,24,Dakshina Kannada
494,Barghat,C.T.,19,West Bengal,16,Haora 
495,Bargur,M,28,Andhra Pradesh,17,Guntur
496,Barh,C.T.,19,West Bengal,11,North Twentyfour Parganas
497,Barhalganj,C.T.,19,West Bengal,14,Puruliya
498,Barhani Bazar,N.P.,9,Uttar Pradesh,36,Jhansi
499,Barhi,C.T.,9,Uttar Pradesh,67,Varanasi
500,Bari,M,10,Bihar,25,Lakhisarai
501,Bari Brahmana,N.P.,23,Madhya Pradesh,34,Raisen
502,Bari Sadri,C.T.,20,Jharkhand,17,Pashchimi Singhbhum
503,Barigarh,M.Cl.,27,Maharashtra,25,Pune
504,Barijhati,T.C.,1,Jammu & Kashmir,2,Baramula
505,Baripada,M,8,Rajasthan,31,Baran
506,Bariwala,M,19,West Bengal,11,North Twentyfour Parganas
507,Barjora,N.A.C.,21,Orissa,1,Bargarh
508,Barkakana,M,19,West Bengal,11,North Twentyfour Parganas
509,Barkhera,N.A.,10,Bihar,15,Gopalganj
510,Barkot,C.T.,10,Bihar,20,Begusarai
511,Barmer,M.B.,9,Uttar Pradesh,8,Baghpat
512,Barnala,C.T.,18,Assam,15,Dibrugarh
513,Barpathar,N.A.,10,Bihar,26,Sheikhpura
514,Barpeta,M,21,Orissa,6,Kendujhar
515,Barpeta Road,M,19,West Bengal,9,Barddhaman 
516,Barrackpur,M,24,Gujarat,22,Surat
517,Barrackpur Cantonment,M.Corp.,9,Uttar Pradesh,20,Bareilly
518,Barsana,C.B.,9,Uttar Pradesh,20,Bareilly
519,Barshi,N.P.,23,Madhya Pradesh,39,Jabalpur
520,Barua Sagar,M.Cl.,3,Punjab,15,Mansa
521,Barughutu,M,21,Orissa,1,Bargarh
522,Baruihuda,N.P.,23,Madhya Pradesh,44,Seoni
523,Baruipur,T.P.,33,Tamil Nadu,5,Dharmapuri
524,Barwadih,M,10,Bihar,28,Patna
525,Barwaha,N.P.,9,Uttar Pradesh,58,Gorakhpur
526,Barwala,N.P.,9,Uttar Pradesh,54,Siddharthnagar
527,Barwani,C.T.,20,Jharkhand,4,Hazaribag
528,Barwar,N.P.,23,Madhya Pradesh,38,Katni
529,Basar,M,8,Rajasthan,8,Dhaulpur
530,Basaria,N.A.C.,1,Jammu & Kashmir,13,Jammu
531,Basavakalyan,M,8,Rajasthan,29,Chittaurgarh
532,Basavana Bagevadi,N.P.,23,Madhya Pradesh,9,Chhatarpur
533,Bashohli,C.T.,19,West Bengal,12,Hugli 
534,Basirhat,M,21,Orissa,7,Mayurbhanj
535,Baska,N.P.,3,Punjab,12,Muktsar
536,Basmath,C.T.,19,West Bengal,13,Bankura 
537,Basna,C.T.,20,Jharkhand,4,Hazaribag
538,Basni Belima,N.P.,9,Uttar Pradesh,21,Pilibhit
539,Basoda,N.P.,5,Uttaranchal,1,Uttarkashi
540,Bassi Pathana,M,8,Rajasthan,17,Barmer
541,Basti,M.Cl.,3,Punjab,16,Sangrur
542,Basudebpur,T.C.,18,Assam,18,Golaghat
543,Basugaon,M.B.,18,Assam,5,Barpeta
544,Basukinath,M.B.,18,Assam,5,Barpeta
545,Batala,M,19,West Bengal,11,North Twentyfour Parganas
546,Bathinda,C.B.,19,West Bengal,11,North Twentyfour Parganas
547,Batlagundu,N.P.,9,Uttar Pradesh,14,Mathura
548,Batote,M.Cl.,27,Maharashtra,30,Solapur
549,Baudhgarh,M.B.,9,Uttar Pradesh,36,Jhansi
550,Bavla,C.T.,20,Jharkhand,4,Hazaribag
551,Bawal,C.T.,19,West Bengal,10,Nadia 
552,Bawana,M,19,West Bengal,18,South Twentyfour Parganas
553,Bawani Khera,C.T.,20,Jharkhand,2,Palamu
554,Bayana,M,23,Madhya Pradesh,27,West Nimar
555,Beawar,M.C.,6,Haryana,12,Hisar
556,Bedi,M,23,Madhya Pradesh,28,Barwani
557,Beejoliya Kalan,N.P.,9,Uttar Pradesh,23,Kheri
558,Beerwah,C.T.,12,Arunachal Pradesh,7,West Siang
559,Begamganj,C.T.,20,Jharkhand,12,Dhanbad
560,Begampur,T.M.C,29,Karnataka,5,Bidar
561,Begowal,T.P.,29,Karnataka,3,Bijapur
562,Begum Pur,N.A.C.,1,Jammu & Kashmir,14,Kathua
563,Begumabad Budhana,M,19,West Bengal,11,North Twentyfour Parganas
564,Begun,C.T.,19,West Bengal,9,Barddhaman 
565,Begusarai,M.Cl.,27,Maharashtra,16,Hingoli
566,Behat,C.T.,22,Chhattisgarh,12,Mahasamund
567,Behea,C.T.,8,Rajasthan,14,Nagaur
568,Behror,M,23,Madhya Pradesh,31,Vidisha
569,Behta Hajipur,M.Cl.,3,Punjab,8,Fatehgarh Sahib
570,Bela Pratapgarh,M.B.,9,Uttar Pradesh,55,Basti
571,Belagachhia,N.A.C.,21,Orissa,9,Bhadrak
572,Beldanga,T.C.,18,Assam,1,Kokrajhar
573,Beldubi,N.A.,20,Jharkhand,11,Dumka
574,Belebathan,M.Cl.,3,Punjab,1,Gurdaspur
575,Belgaum,M.Cl.,3,Punjab,14,Bathinda
576,Belgaum Cantonment,T.P.,33,Tamil Nadu,13,Dindigul
577,Beliatore,N.A.C.,1,Jammu & Kashmir,9,Doda
578,Bellaguntha,N.A.C.,21,Orissa,22,Baudh
579,Bellampalle,M,24,Gujarat,7,Ahmadabad
580,Bellary,M.C,6,Haryana,17,Rewari
581,Belonia,C.T.,7,Delhi *,1,North West
582,Belpahar,M.C.,6,Haryana,13,Bhiwani
583,Belsand,M,8,Rajasthan,7,Bharatpur
584,Beltangadi,M.Cl.,8,Rajasthan,21,Ajmer
585,Belthara Road,C.T.,24,Gujarat,10,Jamnagar
586,Belur,C.T.,8,Rajasthan,24,Bhilwara
587,Belvata,N.A.C.,1,Jammu & Kashmir,4,Badgam
588,Bemetra,M,23,Madhya Pradesh,34,Raisen
589,Benaulim,C.T.,19,West Bengal,12,Hugli 
590,Beniganj,N.P.,3,Punjab,3,Kapurthala
591,Beohari,C.T.,7,Delhi *,1,North West
592,Berasia,C.T.,9,Uttar Pradesh,9,Ghaziabad
593,Beri,M,8,Rajasthan,29,Chittaurgarh
594,Bermo,M,10,Bihar,20,Begusarai
595,Bestavaripeta,N.P.,9,Rajasthan,1,Saharanpur
596,Beswan,N.A.,10,Bihar,29,Bhojpur
597,Bethamcheria,M,8,Rajasthan,6,Alwar
598,Betma,C.T.,9,Uttar Pradesh,9,Ghaziabad
599,Bettiah,M.B.,9,Uttar Pradesh,43,Pratapgarh
600,Betul,C.T.,21,Orissa,12,Cuttack
601,Betul-Bazar,M,19,West Bengal,7,Murshidabad 
602,Bewar,C.T.,19,West Bengal,16,Haora 
603,Beypore,C.T.,19,West Bengal,9,Barddhaman 
604,Bhabat,M.Corp.,29,Karnataka,1,Belgaum
605,Bhabua,C.B,29,Karnataka,1,Belgaum
606,Bhachau,C.T.,19,West Bengal,13,Bankura 
607,Bhadarsa,N.A.C.,21,Orissa,19,Ganjam
608,Bhadaur,M,28,Andhra Pradesh,1,Adilabad
609,Bhaderwah,C.M.C,29,Karnataka,12,Bellary
610,Bhadohi,N.P.,16,Tripura,2,South Tripura 
611,Bhadra,N.A.C.,21,Orissa,2,Jharsuguda
612,Bhadrachalam,N.A.,10,Bihar,4,Sitamarhi
613,Bhadrak,T.P.,29,Karnataka,24,Dakshina Kannada
614,Bhadravati,N.P.,9,Uttar Pradesh,63,Ballia
615,Bhadreswar,T.P.,33,Tamil Nadu,8,Salem
616,Bhagalpur (M.Corp),T.P.,29,Karnataka,23,Hassan
617,Bhagatdih,C.T.,29,Karnataka,26,Mysore
618,Bhagur,N.P.,22,Chhattisgarh,10,Durg
619,Bhagwant Nagar,C.T.,30,Goa,2,South Goa
620,Bhainsa,N.P.,9,Uttar Pradesh,25,Hardoi
621,Bhainsdehi,N.P.,23,Madhya Pradesh,16,Shahdol
622,Bhalariya,N.P.,23,Madhya Pradesh,32,Bhopal
623,Bhalki,M.C,6,Haryana,15,Jhajjar
624,Bhalswa Jahangir Pur,C.T.,20,Jharkhand,13,Bokaro
625,Bhamodi,C.T.,28,Andhra Pradesh,18,Prakasam
626,Bhandara,N.P.,9,Uttar Pradesh,12,Aligarh
627,Bhandardaha,C.T.,28,Andhra Pradesh,21,Kurnool
628,Bhander,N.P.,23,Madhya Pradesh,26,Indore
629,Bhangar Raghunathpur,M,10,Bihar,1,Pashchim Champaran
630,Bhangri Pratham Khanda,M,23,Madhya Pradesh,35,Betul
631,Bhanjanagar,N.P.,23,Madhya Pradesh,35,Betul
632,Bhankharpur,N.P.,9,Uttar Pradesh,18,Mainpuri
633,Bhanowara,C.T.,32,Kerala,4,Kozhikode
634,Bhanpura,C.T.,3,Punjab,7,Rupnagar
635,Bhanpuri,M,10,Bihar,31,Kaimur (Bhabua)
636,Bhanvad,M,24,Gujarat,1,Kachchh
637,Bharat Heavy Electrical Limited Ranipur,N.P.,9,Uttar Pradesh,47,Faizabad
638,Bharatganj,M.Cl.,3,Punjab,16,Sangrur
639,Bharatpur,N.A.C.,1,Jammu & Kashmir,9,Doda
640,Bhargain,M.B.,9,Uttar Pradesh,68,Sant Ravidas Nagar
641,Bharoli Kalan,M,8,Rajasthan,2,Hanumangarh
642,Bharthana,C.T.,28,Andhra Pradesh,10,Khammam
643,Bharuch,M,21,Orissa,9,Bhadrak
644,Bharuch INA,M.Cl.,27,Maharashtra,13,Chandrapur
645,Bharuhana,C.M.C,29,Karnataka,15,Shimoga
646,Bharveli,M,19,West Bengal,12,Hugli 
647,Bharwari,M.Corp.,10,Bihar,22,Bhagalpur
648,Bhatapara,C.T.,20,Jharkhand,12,Dhanbad
649,Bhatgaon,M.Cl.,27,Maharashtra,20,Nashik
650,Bhati,N.P.,9,Uttar Pradesh,26,Unnao
651,Bhatkal,M,28,Andhra Pradesh,1,Adilabad
652,Bhatni Bazar,N.P.,23,Madhya Pradesh,35,Betul
653,Bhatpar Rani,C.T.,8,Rajasthan,26,Udaipur
654,Bhatpara,T.M.C,29,Karnataka,5,Bidar
655,Bhaurasa,C.T.,7,Delhi *,1,North West
656,Bhavani,C.T.,23,Madhya Pradesh,43,Chhindwara
657,Bhavanisagar,M.Cl.,27,Maharashtra,10,Bhandara
658,Bhavnagar,C.T.,19,West Bengal,16,Haora 
659,Bhavra,N.P.,23,Madhya Pradesh,5,Datia
660,Bhawan Bahadur Nagar,C.T.,19,West Bengal,18,South Twentyfour Parganas
661,Bhawani Mandi,C.T.,19,West Bengal,3,Koch Bihar 
662,Bhawanigarh,N.A.C.,21,Orissa,19,Ganjam
663,Bhawanipatna,C.T.,3,Punjab,17,Patiala
664,Bhayavadar,C.T.,19,West Bengal,9,Barddhaman 
665,Bhedaghat,N.P.,23,Madhya Pradesh,19,Mandsaur
666,Bheemavaram,C.T.,22,Chhattisgarh,11,Raipur
667,Bheemunipatnam,M,24,Gujarat,10,Jamnagar
668,Bhikangaon,ITS,5,Uttaranchal,13,Hardwar
669,Bhikhi,N.P.,9,Uttar Pradesh,45,Allahabad 
670,Bhikhiwind,M.Cl.,8,Rajasthan,7,Bharatpur
671,Bhilai Charoda,N.P.,9,Uttar Pradesh,17,Etah
672,Bhilai Nagar,C.T.,3,Punjab,1,Gurdaspur
673,Bhilakhedi,M.B.,9,Uttar Pradesh,31,Etawah
674,Bhilwara,M,24,Gujarat,21,Bharuch
675,Bhimarayanagudi,I.N.A.,24,Gujarat,21,Bharuch
676,Bhimtal,C.T.,9,Uttar Pradesh,69,Mirzapur
677,Bhind,C.T.,23,Madhya Pradesh,45,Balaghat
678,Bhinder,N.P.,9,Uttar Pradesh,44,Kaushambi
679,Bhinga,M,22,Chhattisgarh,11,Raipur
680,Bhingar,N.P.,22,Chhattisgarh,11,Raipur
681,Bhinmal,C.T.,7,Delhi *,9,South
682,Bhisiana,T.M.C,29,Karnataka,10,Uttara Kannada
683,Bhitarwar,N.P.,9,Uttar Pradesh,60,Deoria
684,Bhiwadi,N.P.,9,Uttar Pradesh,60,Deoria
685,Bhiwandi,M,19,West Bengal,11,North Twentyfour Parganas
686,Bhiwani,N.P.,23,Madhya Pradesh,23,Dewas
687,Bhogadi,M,33,Tamil Nadu,10,Erode
688,Bhogaon,T.P.,33,Tamil Nadu,10,Erode
689,Bhogpur,M.C.,24,Gujarat,14,Bhavnagar
690,Bhojpur Dharampur,N.P.,23,Madhya Pradesh,24,Jhabua
691,Bhojudih,N.P.,9,Uttar Pradesh,11,Bulandshahr 
692,Bhokardan,M,8,Rajasthan,32,Jhalawar
693,Bhokarhedi,M.Cl.,3,Punjab,16,Sangrur
694,Bholar Dabri,M,21,Orissa,26,Kalahandi
695,Bhongir,M,24,Gujarat,9,Rajkot
696,Bhopal,N.P.,23,Madhya Pradesh,39,Jabalpur
697,Bhor,M,28,Andhra Pradesh,15,West Godavari
698,Bhota,M,28,Andhra Pradesh,13,Visakhapatnam
699,Bhowali,N.P.,23,Madhya Pradesh,27,West Nimar
700,Bhowrah,N.P.,3,Punjab,15,Mansa
701,Bhuban,N.P.,3,Punjab,2,Amritsar
702,Bhubaneswar,M,22,Chhattisgarh,10,Durg
703,Bhucho Mandi,M.Corp.,22,Chhattisgarh,10,Durg
704,Bhuj,C.T.,23,Madhya Pradesh,37,Hoshangabad
705,Bhulath,M.Cl.,8,Rajasthan,24,Bhilwara
706,Bhulepur,N.A.C,29,Karnataka,4,Gulbarga
707,Bhuli,N.P.,5,Uttaranchal,11,Nainital
708,Bhum,M,23,Madhya Pradesh,3,Bhind
709,Bhuntar,M,8,Rajasthan,26,Udaipur
710,Bhusawal,N.P.,9,Uttar Pradesh,51,Shrawasti
711,Bhusawar,C.T.,27,Maharashtra,26,Ahmadnagar
712,Bhuvanagiri,M,8,Rajasthan,18,Jalor
713,Biaora,C.T.,3,Punjab,14,Bathinda
714,Biate,N.P.,23,Madhya Pradesh,4,Gwalior
715,Bicholim,C.T.,8,Rajasthan,6,Alwar
716,Bid,M.Cl.,27,Maharashtra,21,Thane
717,Bidar,M.Cl.,6,Haryana,13,Bhiwani
718,Bidasar,C.T.,29,Karnataka,26,Mysore
719,Bidhan Nagar,N.P.,9,Uttar Pradesh,18,Mainpuri
720,Bidhuna,N.P.,3,Punjab,4,Jalandhar
721,Bighapur,N.P.,9,Uttar Pradesh,4,Moradabad
722,Bihar,C.T.,20,Jharkhand,13,Bokaro
723,Bihpuria,M.Cl.,27,Maharashtra,18,Jalna
724,Bijapur,N.P.,9,Uttar Pradesh,2,Muzaffarnagar
725,Bijawar,C.T.,19,West Bengal,2,Jalpaiguri 
726,Bijbehara,M,28,Andhra Pradesh,8,Nalgonda
727,Bijeypur,M.Corp.,23,Madhya Pradesh,32,Bhopal
728,Bijni,M.Cl.,27,Maharashtra,25,Pune
729,Bijnor,N.P.,2,Himachal Pradesh,6,Hamirpur
730,Bijpur,M.B.,5,Uttaranchal,11,Nainital
731,Bijuri,C.T.,20,Jharkhand,12,Dhanbad
732,Bikaner,N.A.C.,21,Orissa,14,Dhenkanal
733,Bikapur,M.Corp.,21,Orissa,17,Khordha
734,Bikihakola,M.Cl.,3,Punjab,14,Bathinda
735,Bikketti,M,24,Gujarat,1,Kachchh
736,Bikramganj,N.P.,3,Punjab,3,Kapurthala
737,Bilandapur,C.T.,9,Uttar Pradesh,48,Ambedaker Nagar
738,Bilara,C.T.,20,Jharkhand,12,Dhanbad
739,Bilari,M.Cl.,27,Maharashtra,29,Osmanabad
740,Bilariaganj,N.P.,2,Himachal Pradesh,4,Kullu
741,Bilasipara,M.Cl.,27,Maharashtra,3,Jalgaon
742,Bilaspur,M,8,Rajasthan,7,Bharatpur
743,Bilaua,T.P.,33,Tamil Nadu,18,Cuddalore
744,Bilgi,M,23,Madhya Pradesh,30,Rajgarh
745,Bilgram,C.T.,15,Mizoram,5,Serchhip
746,Bilha,M.Cl.,30,Goa,1,North Goa 
747,Bilhaur,M.Cl.,27,Maharashtra,27,Bid
748,Bilimora,C.M.C,29,Karnataka,5,Bidar
749,Billawar,M,8,Rajasthan,4,Churu
750,Biloli,M,19,West Bengal,11,North Twentyfour Parganas
751,Bilpahari,N.P.,9,Uttar Pradesh,32,Auraiya
752,Bilpura,N.P.,9,Uttar Pradesh,26,Unnao
753,Bilram,M,10,Bihar,27,Nalanda
754,Bilsanda,T.C.,18,Assam,12,Lakhimpur
755,Bilsi,C.M.C,29,Karnataka,3,Bijapur
756,Bina Etawa,N.P.,23,Madhya Pradesh,9,Chhatarpur
757,Bina Rly Colony,N.A.C.,1,Jammu & Kashmir,6,Anantnag
758,Bindki,N.P.,23,Madhya Pradesh,1,Sheopur
759,Binika,T.C.,18,Assam,4,Bongaigaon
760,Bipra  Noapara,M.B.,9,Uttar Pradesh,3,Bijnor
761,Biramitrapur,C.T.,9,Uttar Pradesh,70,Sonbhadra
762,Birgaon,N.P.,23,Madhya Pradesh,16,Shahdol
763,Birlapur,M.Cl.,8,Rajasthan,3,Bikaner
764,Birnagar,N.P.,9,Uttar Pradesh,47,Faizabad
765,Birpur,C.T.,19,West Bengal,16,Haora 
766,Birsinghpur,T.P.,33,Tamil Nadu,11,The Nilgiris
767,Birur,N.A.,10,Bihar,32,Rohtas
768,Birwadi,C.T.,19,West Bengal,18,South Twentyfour Parganas
769,Bisalpur,M,8,Rajasthan,15,Jodhpur
770,Bisanda Buzurg,M.B.,9,Uttar Pradesh,4,Moradabad
771,Bisauli,N.P.,9,Uttar Pradesh,61,Azamgarh
772,Bishama Katek,T.C.,18,Assam,2,Dhubri
773,Bisharatganj,C.T.,6,Haryana,3,Yamunanagar
774,Bishna,M.B.,9,Uttar Pradesh,5,Rampur
775,Bishnupur,M.Corp.,22,Chhattisgarh,7,Bilaspur
776,Bisokhar,M.Cl.,2,Himachal Pradesh,8,Bilaspur
777,Bissau,N.P.,9,Uttar Pradesh,10,Gautam Buddha Nagar
778,Biswan,N.P.,23,Madhya Pradesh,4,Gwalior
779,Biswanath Chariali,T.P.,29,Karnataka,2,Bagalkot
780,Bithoor,M.B.,9,Uttar Pradesh,25,Hardoi
781,Bobbili,N.P.,22,Chhattisgarh,7,Bilaspur
782,Boda,M.B.,9,Uttar Pradesh,34,Kanpur Nagar
783,Bodeli,M,24,Gujarat,24,Navsari
784,Bodh Gaya,N.A.C.,1,Jammu & Kashmir,14,Kathua
785,Bodhan,M.Cl.,27,Maharashtra,15,Nanded
786,Bodinayakkanur,C.T.,19,West Bengal,9,Barddhaman 
787,Bodri,C.T.,23,Madhya Pradesh,39,Jabalpur
788,Bohari,N.P.,9,Uttar Pradesh,17,Etah
789,Boisar,N.P.,9,Uttar Pradesh,21,Pilibhit
790,Bokajan,M.B.,9,Uttar Pradesh,19,Budaun
791,Bokakhat,M,23,Madhya Pradesh,11,Sagar
792,Bokaro,C.T.,23,Madhya Pradesh,11,Sagar
793,Bokaro Steel City,M.B.,9,Uttar Pradesh,42,Fatehpur
794,Bollaram,N.A.C.,21,Orissa,23,Sonapur
795,Bolpur,C.T.,19,West Bengal,16,Haora 
796,Bombooflat,M,21,Orissa,5,Sundargarh
797,Bomdila,C.T.,22,Chhattisgarh,11,Raipur
798,Bommanahalli,C.T.,19,West Bengal,18,South Twentyfour Parganas
799,Bommasandra,M,19,West Bengal,10,Nadia 
800,Bongaigaon,N.A.,10,Bihar,6,Supaul
801,"Bongaigaon, Refinery & Petro-chemical Ltd. Township",N.P.,23,Madhya Pradesh,13,Satna
802,Boothapandi,T.M.C,29,Karnataka,17,Chikmagalur
803,Boothipuram,C.T.,27,Maharashtra,24,Raigarh
804,Bopal,M.B.,9,Uttar Pradesh,21,Pilibhit
805,Borgolai Grant No.11,N.P.,9,Uttar Pradesh,40,Banda
806,Boriavi,M.B.,9,Uttar Pradesh,19,Budaun
807,Borsad,C.T.,21,Orissa,27,Rayagada
808,Botad,N.P.,9,Uttar Pradesh,20,Bareilly
809,Bowali,N.A.C.,1,Jammu & Kashmir,13,Jammu
810,Brahmakulam,M.Cl.,14,Manipur,4,Bishnupur
811,Brahmana Periya-Agraharam,M,19,West Bengal,13,Bankura 
812,Brahmapur,C.T.,19,West Bengal,18,South Twentyfour Parganas
813,Brahmapuri,C.T.,9,Uttar Pradesh,9,Ghaziabad
814,Brajarajnagar,M,8,Rajasthan,5,Jhunjhunun
815,Budaun,M.B.,9,Uttar Pradesh,24,Sitapur
816,Budge Budge,T.C.,18,Assam,11,Sonitpur
817,Budha Theh,N.P.,9,Uttar Pradesh,34,Kanpur Nagar
818,Budhana,M,28,Andhra Pradesh,12,Vizianagaram
819,Budhgaon,N.P.,23,Madhya Pradesh,30,Rajgarh
820,Budhlada,C.T.,24,Gujarat,19,Vadodara
821,Budhni,N.A.,10,Bihar,35,Gaya
822,Budhpura,M,28,Andhra Pradesh,2,Nizamabad
823,Bugganipalle,M ,33,Tamil Nadu,25,Theni
824,Bugrasi,N.P.,22,Chhattisgarh,7,Bilaspur
825,Buguda,C.T.,18,Assam,5,Barpeta
826,Bulandshahr,C.T.,27,Maharashtra,21,Thane
827,Buldana,T.C.,18,Assam,19,Karbi Anglong
828,Bundi,T.C.,18,Assam,18,Golaghat
829,Bundu,C.T.,20,Jharkhand,13,Bokaro
830,Burari,C.T.,20,Jharkhand,13,Bokaro
831,Burhanpur,M,28,Andhra Pradesh,4,Medak
832,Burhar,M,19,West Bengal,8,Birbhum
833,Buria,C.T.,35,Andaman & Nicobar Islands *,1,Andamans
834,Burla,C.T.,12,Arunachal Pradesh,2,West Kameng
835,Buxar,C.M.C,29,Karnataka,20,Bangalore
836,Buxwaha,C.T.,29,Karnataka,20,Bangalore
837,Byadgi,M.B.,18,Assam,4,Bongaigaon
838,Byasanagar,C.T.,18,Assam,4,Bongaigaon
839,Byatarayanapura,T.P.,33,Tamil Nadu,30,Kanniyakumari
840,Calangute,T.P.,33,Tamil Nadu,25,Theni
841,Calapor,C.T.,24,Gujarat,7,Ahmadabad
842,Canacona,C.T.,18,Assam,14,Tinsukia
843,Candolim,M,24,Gujarat,15,Anand
844,Carapur,M,24,Gujarat,15,Anand
845,Cart Road,M,24,Gujarat,14,Bhavnagar
846,Chabua,C.T.,19,West Bengal,18,South Twentyfour Parganas
847,Chachanda,C.T.,32,Kerala,7,Thrissur
848,Chachaura-Binaganj,T.P.,33,Tamil Nadu,10,Erode
849,Chaibasa,N.A.C.,21,Orissa,19,Ganjam
850,Chail,M.Cl.,27,Maharashtra,13,Chandrapur
851,Chak Bankola,M,21,Orissa,2,Jharsuguda
852,Chak Bansberia,M.B.,9,Uttar Pradesh,19,Budaun
853,Chak Enayetnagar,M,19,West Bengal,18,South Twentyfour Parganas
854,Chak Imam Ali,C.T.,3,Punjab,2,Amritsar
855,Chak Kashipur,N.P.,9,Uttar Pradesh,2,Muzaffarnagar
856,Chakan,C.T.,27,Maharashtra,35,Sangli
857,Chakapara,M.Cl.,3,Punjab,15,Mansa
858,Chakdaha,N.P.,23,Madhya Pradesh,33,Sehore
859,Chakeri,C.T.,8,Rajasthan,23,Bundi
860,Chakghat,C.T.,28,Andhra Pradesh,21,Kurnool
861,Chakia,N.P.,9,Uttar Pradesh,11,Bulandshahr 
862,Chaklasi,N.A.C.,21,Orissa,19,Ganjam
863,Chakradharpur,M.B.,9,Uttar Pradesh,11,Bulandshahr 
864,Chakrata,M.Cl.,27,Maharashtra,4,Buldana
865,Chaksu,M,8,Rajasthan,23,Bundi
866,Chakulia,N.A.,20,Jharkhand,14,Ranchi
867,Chala,C.T.,7,Delhi *,2,North
868,Chalakudy,M.Corp.,23,Madhya Pradesh,29,East Nimar
869,Chalala,N.P.,23,Madhya Pradesh,16,Shahdol
870,Chalisgaon,M.C.,6,Haryana,3,Yamunanagar
871,Challakere,N.A.C.,21,Orissa,3,Sambalpur
872,Chalthan,M,10,Bihar,30,Buxar
873,Chamba,N.P.,23,Madhya Pradesh,9,Chhatarpur
874,Chamoli Gopeshwar,T.M.C,29,Karnataka,11,Haveri
875,Champa,M,21,Orissa,13,Jajapur
876,Champawat,C.M.C,29,Karnataka,20,Bangalore
877,Champdani,C.T.,30,Goa,1,North Goa 
878,Champhai,C.T.,30,Goa,1,North Goa 
879,Champua,M.Cl.,30,Goa,2,South Goa
880,Chamrail,C.T.,30,Goa,1,North Goa 
881,Chamrajnagar,C.T.,30,Goa,1,North Goa 
882,Chanasma,C.T.,19,West Bengal,1,Darjiling 
883,Chandameta-Butaria,T.C.,18,Assam,15,Dibrugarh
884,Chandannagar,C.T.,19,West Bengal,7,Murshidabad 
885,Chandapur,N.P.,23,Madhya Pradesh,7,Guna
